,Tension fotodiodo [V],Tiempo [s],Datos hasta tiempo,Duracion [s],Frecuencia de sampleo [Hz]
0,4.963501806674451,0.11008739471435547,0.0,30.0,2500.0
1,4.9575808407467505,0.22004127502441406,272.0,,
2,4.961199208810323,0.3217461109161377,275.0,,
3,4.956265070544429,0.4318387508392334,253.0,,
4,4.952975645044719,0.5419759750366211,276.0,,
5,4.950344104651217,0.6519458293914795,275.0,,
6,4.9431073685977776,0.7619192600250244,275.0,,
7,4.947054679167166,0.8635947704315186,275.0,,
8,4.944423138786184,0.9736900329589844,254.0,,
9,4.944752081333503,1.083646535873413,276.0,,
10,4.9381732304036285,1.193624496459961,274.0,,
11,4.936528517676584,1.3043429851531982,275.0,,
12,4.93751534531255,1.4100031852722168,275.0,,
13,4.931265436964612,1.5199530124664307,266.0,,
14,4.929949666790086,1.6299192905426025,275.0,,
15,4.928633896616945,1.7398769855499268,275.0,,
16,4.926660241359832,1.8413541316986084,275.0,,
17,4.925673413732444,1.9426376819610596,254.0,,
18,4.923699758480004,2.0526208877563477,253.0,,
19,4.921397160689429,2.162855863571167,274.0,,
20,4.914489367343116,2.2728145122528076,277.0,,
21,4.9164630225810315,2.373969316482544,274.0,,
22,4.913502539725324,2.4749577045440674,253.0,,
23,4.9105420568766105,2.5850486755371094,253.0,,
24,4.909555229261926,2.6950221061706543,275.0,,
25,4.903634263590116,2.804969072341919,275.0,,
26,4.902976378517195,2.9061496257781982,275.0,,
27,4.902647435980863,3.0119454860687256,252.0,,
28,4.902647435980863,3.1219098567962646,265.0,,
29,4.899686953157756,3.2318837642669678,275.0,,
30,4.888173964467482,3.341829538345337,275.0,,
31,4.8914633897968125,3.4440131187438965,275.0,,
32,4.889160792065378,3.544665575027466,253.0,,
33,4.886529251806039,3.6546261310577393,254.0,,
34,4.8931081024647,3.764583110809326,275.0,,
35,4.88258194142733,3.874541759490967,275.0,,
36,4.881924056365414,3.975776195526123,275.0,,
37,4.878305688531006,4.076896905899048,252.0,,
38,4.876660975882431,4.186985969543457,253.0,,
39,4.874358378178027,4.296953201293945,276.0,,
40,4.868437412671684,4.406912565231323,275.0,,
41,4.874687320706971,4.508119583129883,274.0,,
42,4.872713665534594,4.6090569496154785,253.0,,
43,4.8740294356491685,4.719167709350586,252.0,,
44,4.862845389718923,4.829108238220215,276.0,,
45,4.869095297726575,4.9390716552734375,275.0,,
46,4.866463757509064,5.040600776672363,275.0,,
47,4.864490102349523,5.141703844070435,253.0,,
48,4.8579112518399405,5.251797199249268,254.0,,
49,4.864490102349523,5.361756324768066,275.0,,
50,4.854621826597957,5.472041845321655,274.0,,
51,4.863503274770906,5.5732526779174805,276.0,,
52,4.855608654169656,5.674656867980957,253.0,,
53,4.855937596693726,5.784755229949951,253.0,,
54,4.857253366790861,5.894712448120117,276.0,,
55,4.8579112518399405,6.004680395126343,275.0,,
56,4.852648171456862,6.112278699874878,275.0,,
57,4.857253366790861,6.222470760345459,269.0,,
58,4.846398263530313,6.332441091537476,275.0,,
59,4.84804297613958,6.442581415176392,275.0,,
60,4.854292884074228,6.552590847015381,276.0,,
61,4.851990286410514,6.653777599334717,275.0,,
62,4.850016631273513,6.763858795166016,253.0,,
63,4.852648171456862,6.873830080032349,275.0,,
64,4.856595481742123,6.983792543411255,275.0,,
65,4.850016631273513,7.0937535762786865,275.0,,
66,4.855937596693726,7.194780588150024,274.0,,
67,4.8493587462285275,7.304873466491699,252.0,,
68,4.859884906989227,7.414839744567871,276.0,,
69,4.853963941550584,7.524797677993774,276.0,,
70,4.865476929928908,7.634726047515869,274.0,,
71,4.851332401364506,7.7359912395477295,275.0,,
72,4.8588980794142,7.8460869789123535,253.0,,
73,4.859884906989227,7.956041574478149,275.0,,
74,4.8579112518399405,8.066007137298584,276.0,,
75,4.865147987402361,8.175976753234863,274.0,,
76,4.859555964464133,8.28682541847229,275.0,,
77,4.866792700035954,8.396777629852295,277.0,,
78,4.863832217297026,8.506746768951416,275.0,,
79,4.871068952893301,8.616697788238525,275.0,,
80,4.8694242402541486,8.717944383621216,275.0,,
81,4.869095297726575,8.819196939468384,253.0,,
82,4.863832217297026,8.929280281066895,253.0,,
83,4.906923688959894,9.039250612258911,275.0,,
84,4.870740010365299,9.149235725402832,276.0,,
85,4.875674148294316,9.250710248947144,274.0,,
86,4.875674148294316,9.351943731307983,254.0,,
87,4.879292516121179,9.462321043014526,252.0,,
88,4.879292516121179,9.572255373001099,277.0,,
89,4.8812661713038406,9.682233095169067,274.0,,
90,4.882910883958417,9.783586263656616,276.0,,
91,4.889818677131073,9.88489031791687,252.0,,
92,4.892450217397287,9.994983911514282,254.0,,
93,4.891134447263492,10.10495400428772,276.0,,
94,4.892779159930951,10.214925765991211,275.0,,
95,4.890805504730259,10.316334247589111,275.0,,
96,4.90626580388525,10.417725324630737,253.0,,
97,4.901002723300498,10.527814149856567,253.0,,
98,4.905278976273928,10.637770652770996,276.0,,
99,4.907252631497347,10.747743368148804,274.0,,
100,4.90823945911022,10.84921145439148,276.0,,
101,4.906923688959894,10.950641870498657,253.0,,
102,4.914160424803765,11.06074070930481,253.0,,
103,4.919752447984469,11.170711994171143,276.0,,
104,4.91876562036253,11.280663967132568,275.0,,
105,4.926989183902467,11.382004737854004,275.0,,
106,4.92962072424667,11.487736463546753,252.0,,
107,4.925673413732444,11.597678422927856,265.0,,
108,4.932581207140525,11.707634449005127,275.0,,
109,4.929949666790086,11.817608833312988,275.0,,
110,4.933239092229001,11.91864013671875,275.0,,
111,4.937844287858046,12.01964783668518,252.0,,
