,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
0,6.188484525263214,15.07,20.0,2500.0
1,6.140129917692592,,,
2,6.089472712254836,,,
3,6.03684185214276,,,
4,5.983224166188643,,,
5,5.9273038831923035,,,
6,5.868752060684392,,,
7,5.8082265846642835,,,
8,5.748030054868575,,,
9,5.685201986386375,,,
10,5.621716036065017,,,
11,5.554611719510318,,,
12,5.485533750821855,,,
13,5.413824244958571,,,
14,5.34178580095395,,,
15,5.2648132219167705,,,
16,5.187511705327291,,,
17,5.108565480810162,,,
18,5.028303491181541,,,
19,4.947383621715179,,,
20,4.864161159823232,,,
21,4.778307163367097,,,
22,4.689492690294368,,,
23,4.598704568476361,,,
24,4.507587510382551,,,
25,4.416799400788713,,,
26,4.328313893875991,,,
27,4.238841565354336,,,
28,4.151671838834665,,,
29,4.066475771463841,,,
30,3.981937593534712,,,
31,3.898057304841142,,,
32,3.8138480783349187,,,
33,3.732270394362669,,,
34,3.6536531946913127,,,
35,3.5760228254098125,,,
36,3.4980635174255346,,,
37,3.4210910395309244,,,
38,3.347079044678909,,,
39,3.2730670528234223,,,
40,3.2010287169000113,,,
41,3.1319508630881026,,,
42,3.06682031744947,,,
43,3.00300554247588,,,
44,2.9408354801243384,,,
45,2.8822837828941617,,,
46,2.827021508343461,,,
47,2.77504865618975,,,
48,2.727023110356978,,,
49,2.6806422759783444,,,
50,2.6382087474832874,,,
51,2.597090988058416,,,
52,2.5586047658909163,,,
53,2.5217632546564124,,,
54,2.487553280443015,,,
55,2.4582774375064576,,,
56,2.4313041892652607,,,
57,2.4076203617815577,,,
58,2.386239128827666,,,
59,2.369463084635908,,,
60,2.354989634833308,,,
61,2.3441345475347437,,,
62,2.3362399386189425,,,
63,2.3326215762072273,,,
64,2.330976866021749,,,
65,2.333608402319014,,,
66,2.3398583010357004,,,
67,2.3493976201586517,,,
68,2.3615684756425632,,,
69,2.3776866356965214,,,
70,2.3961073901685728,,,
71,2.4188043913987896,,,
72,2.4441329292458978,,,
73,2.474066656125527,,,
74,2.506302977788691,,,
75,2.539526126073688,,,
76,2.5763676375825377,,,
77,2.616827512491591,,,
78,2.6592610405918093,,,
79,2.703339279916641,,,
80,2.7500490568591727,,,
81,2.7997193137028957,,,
82,2.853336876998841,,,
83,2.9105728049471598,,,
84,2.9714270978716506,,,
85,3.03425504543171,,,
86,3.099714532149466,,,
87,3.167476616168268,,,
88,3.2372123556048775,,,
89,3.3102375194736715,,,
90,3.384578455025355,,,
91,3.4599062202729978,,,
92,3.5368786998650985,,,
93,3.61418012512089,,,
94,3.692797322932559,,,
95,3.7737171203852498,,,
96,3.8566105756130833,,,
97,3.9414776890126455,,,
98,4.025029037730325,,,
99,4.107264621645553,,,
100,4.195092230263797,,,
101,4.283577728917681,,,
102,4.373050060243604,,,
103,4.463509224542825,,,
104,4.554955222126359,,,
105,4.646401225902087,,,
106,4.73554463853762,,,
107,4.822714402192611,,,
108,4.907252631497347,,,
109,4.988830383462296,,,
110,5.069421313075051,,,
111,5.14935436282713,,,
112,5.227313762172403,,,
113,5.304286338734952,,,
114,5.378298436390548,,,
115,5.450336882697197,,,
116,5.520730620048466,,,
117,5.58947964819131,,,
118,5.654939253129969,,,
119,5.717767319855119,,,
120,5.778950676307012,,,
121,5.840791921874779,,,
122,5.89868585717519,,,
123,5.956250852837281,,,
124,6.010197480245176,,,
125,6.06381516761037,,,
126,6.116117086226703,,,
127,6.164800635549229,,,
128,6.210523700918593,,,
129,6.252299453129614,,,
130,6.291114720546582,,,
131,6.327956331717631,,,
132,6.363153229402895,,,
133,6.396705413430983,,,
134,6.425981339662459,,,
135,6.452296779732352,,,
136,6.478283277511071,,,
137,6.500980345770413,,,
138,6.522361642452516,,,
139,6.541440338360834,,,
140,6.5582164333571855,,,
141,6.572689927319512,,,
142,6.584860820142091,,,
143,6.59472911173572,,,
144,6.602294802027875,,,
145,6.607557890962829,,,
146,6.610189435441409,,,
147,6.611505207683479,,,
148,6.60953154932107,,,
149,6.604268460375013,,,
150,6.597689599234068,,,
151,6.589466022872862,,,
152,6.578281959137331,,,
153,6.565124237265987,,,
154,6.54867708518542,,,
155,6.5312431042930035,,,
156,6.510190750435948,,,
157,6.48749368195688,,,
158,6.463480841980886,,,
159,6.436507515603817,,,
160,6.40723158905227,,,
161,6.376310948491054,,,
162,6.342758765168548,,,
163,6.307561868219498,,,
164,6.269404486040096,,,
165,6.228286618966399,,,
166,6.182563552782103,,,
167,6.134866831294918,,,
168,6.083880683238625,,,
169,6.032565594877942,,,
170,5.9773031949048745,,,
171,5.921711855058288,,,
172,5.863488975675305,,,
173,5.802634557163051,,,
174,5.742438027682397,,,
175,5.680596787793027,,,
176,5.615137181320174,,,
177,5.547374979732824,,,
178,5.478297011491506,,,
179,5.406587506086553,,,
180,5.3338911772279225,,,
181,5.257576483978095,,,
182,5.178959197419277,,,
183,5.099026145699178,,,
184,5.019093099266983,,,
185,4.937844287858046,,,
186,4.853963941550584,,,
187,4.767781003277852,,,
188,4.679624415881605,,,
189,4.588178409825862,,,
190,4.498377122179411,,,
191,4.4069311283656925,,,
192,4.317787737288954,,,
193,4.228315409422959,,,
194,4.141474625881264,,,
195,4.056278559090995,,,
196,3.9723982663569952,,,
197,3.888189035878762,,,
198,3.804966636735544,,,
199,3.7237178954726624,,,
200,3.6444428117088288,,,
201,3.5661545583818284,,,
202,3.4888531352784233,,,
203,3.413525368806667,,,
204,3.3385265476903827,,,
205,3.264843498354963,,,
206,3.193791989241551,,,
207,3.1253720199963153,,,
208,3.059912532431693,,,
209,2.9960977576769627,,,
210,2.9342566376571217,,,
211,2.8753759984969505,,,
212,2.8211005504403612,,,
213,2.7707724089157253,,,
214,2.721431094813774,,,
215,2.6760370868012133,,,
216,2.633932500469144,,,
217,2.593472625263743,,,
218,2.5536706348890643,,,
219,2.519131718161303,,,
220,2.4862375122136475,,,
221,2.4559748431329544,,,
222,2.4293305369664036,,,
223,2.40564670950132,,,
224,2.3855812447396354,,,
225,2.368476258510411,,,
226,2.353673866673475,,,
227,2.3434766634575084,,,
228,2.3368978226943415,,,
229,2.3322926341700483,,,
230,2.3322926341700483,,,
231,2.334924170468645,,,
232,2.3408451271502377,,,
233,2.3500555042373943,,,
234,2.3638710699297794,,,
235,2.380318172041509,,,
236,2.3990678685783333,,,
237,2.422093811883919,,,
238,2.447422349764408,,,
239,2.476698192571891,,,
240,2.5102502825114814,,,
241,2.5441313149811253,,,
242,2.5813017686316693,,,
243,2.621432701550059,,,
244,2.663208345571168,,,
245,2.7072865849726804,,,
246,2.7556410724743228,,,
247,2.805969213650518,,,
248,2.859586777102007,,,
249,2.917151647339657,,,
250,2.9780059404573267,,,
251,3.04149177250103,,,
252,3.107609143758947,,,
253,3.1747133437275195,,,
