,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
0,4.612849094293421,95.26,20.0,3500.0
1,4.600678223232544,,,
2,4.5911388919379545,,,
3,4.583902157897713,,,
4,4.57896802107447,,,
5,4.577981193711996,,,
6,4.579625905983188,,,
7,4.585546870176157,,,
8,4.593112546682983,,,
9,4.602651877991639,,,
10,4.615151691533639,,,
11,4.629954102458662,,,
12,4.645743340960433,,,
13,4.661532579650432,,,
14,4.679295473402456,,,
15,4.697058367394401,,,
16,4.713505491675718,,,
17,4.728965788689046,,,
18,4.7431103159046515,,,
19,4.755610130781637,,,
20,4.765478405769778,,,
21,4.773373025814565,,,
22,4.778307163367097,,,
23,4.780609760898077,,,
24,4.780938703402838,,,
25,4.776662450847487,,,
26,4.77041254329211,,,
27,4.760544268266293,,,
28,4.749360223328074,,,
29,4.736202523524308,,,
30,4.7210711689146505,,,
31,4.704624044538121,,,
32,4.6875190354058835,,,
33,4.670085084019663,,,
34,4.652322190391688,,,
35,4.635875066874808,,,
36,4.6210726558838955,,,
37,4.606599187518575,,,
38,4.594757258972728,,,
39,4.5858758126320875,,,
40,4.578639078620231,,,
41,4.57567859653571,,,
42,4.574691769175652,,,
43,4.576665423896492,,,
44,4.582586388076408,,,
45,4.590152064566531,,,
46,4.601336108151918,,,
47,4.613506979218792,,,
48,4.6279804476591435,,,
49,4.644427571078105,,,
50,4.660545752226781,,,
51,4.677979703486682,,,
52,4.694097885045711,,,
53,4.711860779238276,,,
54,4.726992133740961,,,
55,4.740149833451434,,,
56,4.751991763304846,,,
57,4.7612021532656685,,,
58,4.768109945779341,,,
59,4.77139937079884,,,
60,4.772386198306325,,,
61,4.77139937079884,,,
62,4.7674520607764475,,,
63,4.7598863832672516,,,
64,4.749031280831353,,,
65,4.73686040851133,,,
66,4.722057996383834,,,
67,4.706597699452372,,,
68,4.689492690294368,,,
69,4.672716623836743,,,
70,4.655282672646427,,,
71,4.636861894280067,,,
72,4.62140159834857,,,
73,4.606270245057552,,,
74,4.594099374056587,,,
75,4.580941675801591,,,
76,4.572389172004998,,,
77,4.565810322967696,,,
78,4.562520898461095,,,
79,4.561863013560737,,,
80,4.565152438065733,,,
81,4.571731287099821,,,
82,4.580941675801591,,,
83,4.592125719310105,,,
84,4.604954475214269,,,
85,4.620414770954789,,,
86,4.6355461244065514,,,
87,4.653309017809198,,,
88,4.6710719114504515,,,
89,4.687847977887092,,,
90,4.704952987023623,,,
91,4.719755398956901,,,
92,4.732255213609174,,,
93,4.744097143390558,,,
94,4.752978590797514,,,
95,4.7582416707711115,,,
96,4.7621889807653615,,,
97,4.7621889807653615,,,
98,4.760215325766731,,,
99,4.754294360788906,,,
100,4.747057625852782,,,
101,4.73686040851133,,,
102,4.7240316513244425,,,
103,4.710545009289812,,,
104,4.694426827528568,,,
105,4.676992876050715,,,
106,4.65988786727809,,,
107,4.642453916257063,,,
108,4.625677850396742,,,
109,4.608572842286417,,,
110,4.594099374056587,,,
111,4.580941675801591,,,
112,4.569428689934234,,,
113,4.5608761862108045,,,
114,4.556599934369432,,,
