,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
0,4.565152438065733,95.26,20.0,3500.0
1,4.5773233088040834,,,
2,4.594099374056587,,,
3,4.611533324443653,,,
4,4.629954102458662,,,
5,4.648374880729011,,,
6,4.666795659255702,,,
7,4.686203265481876,,,
8,4.703637217082112,,,
9,4.718768571489461,,,
10,4.733242041086834,,,
11,4.745083970877215,,,
12,4.754952245785105,,,
13,4.7612021532656685,,,
14,4.7658073482706795,,,
15,4.7658073482706795,,,
16,4.763175808265807,,,
17,4.757254843274431,,,
18,4.748702338334716,,,
19,4.7378472359924855,,,
20,4.726005306268041,,,
21,4.711202894263878,,,
22,4.694755770011509,,,
23,4.676006048615489,,,
24,4.658243154907796,,,
25,4.63949343403101,,,
26,4.621730540813327,,,
27,4.605612360135748,,,
28,4.590481007023591,,,
29,4.577652251257999,,,
30,4.567126092772585,,,
31,4.560547243760986,,,
32,4.5559420494719625,,,
33,4.554626279677984,,,
34,4.556270991920657,,,
35,4.560547243760986,,,
36,4.5684418625787595,,,
37,4.580283790892229,,,
38,4.595086201430919,,,
39,4.610217554595182,,,
40,4.6269936202604836,,,
41,4.645743340960433,,,
42,4.663177292024823,,,
43,4.681927013237954,,,
44,4.70001884974978,,,
45,4.716465974068337,,,
46,4.732584156101644,,,
47,4.746399740860593,,,
48,4.7575837857732415,,,
49,4.765478405769778,,,
50,4.77139937079884,,,
51,4.775017738329977,,,
52,4.774359853323561,,,
53,4.771070428296513,,,
54,4.765149463268958,,,
55,4.756268015778504,,,
56,4.744097143390558,,,
57,4.728965788689046,,,
58,4.713176549188065,,,
59,4.695742597460824,,,
60,4.678308645965502,,,
61,4.659229982329726,,,
62,4.640809203908439,,,
63,4.622717368208083,,,
64,4.60594130259661,,,
65,4.590809949480732,,,
66,4.578310136166073,,,
67,4.569428689934234,,,
68,4.561863013560737,,,
69,4.558902531513102,,,
70,4.558902531513102,,,
71,4.561534071110679,,,
72,4.566468207869979,,,
73,4.57436282672246,,,
74,4.586204755088099,,,
75,4.600349280772978,,,
76,4.6164674613869785,,,
77,4.633572469598725,,,
78,4.650348535558878,,,
79,4.668769314113093,,,
80,4.686532207962754,,,
81,4.704295102052702,,,
82,4.720413283935611,,,
83,4.73554463853762,,,
84,4.7480444533416915,,,
85,4.758570613270172,,,
86,4.766136290771666,,,
87,4.772057255803746,,,
88,4.7737019683174795,,,
89,4.772386198306325,,,
90,4.7674520607764475,,,
91,4.758899555769316,,,
92,4.748373395838162,,,
93,4.736202523524308,,,
94,4.721729053894023,,,
95,4.706268756966457,,,
96,4.6885058628497545,,,
97,4.669098256589612,,,
98,4.650019593087029,,,
99,4.630611987392485,,,
100,4.612191209368374,,,
101,4.595744086347545,,,
102,4.582257445621284,,,
103,4.56975763238622,,,
104,4.560547243760986,,,
105,4.5542973372296895,,,
106,4.550678970303738,,,
107,4.550021085409152,,,
108,4.553639452333341,,,
109,4.559889358861592,,,
110,4.568770805030504,,,
111,4.580941675801591,,,
112,4.595744086347545,,,
113,4.611533324443653,,,
114,4.629625159991872,,,
115,4.64607228343122,,,
116,4.664822004401265,,,
117,4.681269128278585,,,
118,4.699689907265519,,,
119,4.715150204115233,,,
120,4.729623673672407,,,
121,4.74179454592461,,,
122,4.751662820807457,,,
123,4.757912728272135,,,
124,4.76186003826538,,,
125,4.7628468657655745,,,
126,4.760215325766731,,,
127,4.7539654182909326,,,
128,4.7457418558687365,,,
129,4.735873581030923,,,
130,4.722386938873727,,,
131,4.70692664193837,,,
132,4.690479517739723,,,
133,4.671729796404721,,,
134,4.652980075336613,,,
135,4.634230354534341,,,
136,4.615151691533639,,,
137,4.597388798640522,,,
138,4.581928503166239,,,
139,4.567455035224008,,,
140,4.555613107023348,,,
141,4.546073776048353,,,
142,4.541468581808643,,,
143,4.53850809980567,,,
144,4.538179157361294,,,
145,4.542455409144406,,,
146,4.5496921429619785,,,
147,4.559889358861592,,,
148,4.57206022955237,,,
149,4.588178409825862,,,
150,4.604296590293112,,,
151,4.622388425743083,,,
152,4.63949343403101,,,
153,4.65988786727809,,,
154,4.677979703486682,,,
155,4.694426827528568,,,
156,4.708900296856097,,,
157,4.723044823853765,,,
158,4.735215696044401,,,
159,4.743768200895173,,,
160,4.749360223328074,,,
161,4.752649648299874,,,
162,4.753307533295236,,,
163,4.750018108321766,,,
164,4.74343925839987,,,
165,4.733899926072357,,,
166,4.722386938873727,,,
167,4.708900296856097,,,
168,4.694097885045711,,,
169,4.676006048615489,,,
170,4.658572097381691,,,
171,4.6404802614389595,,,
172,4.6210726558838955,,,
173,4.602651877991639,,,
174,4.585546870176157,,,
175,4.570086574838285,,,
176,4.5559420494719625,,,
177,4.546073776048353,,,
178,4.537521272472783,,,
179,4.534231848035013,,,
180,4.53258713581912,,,
181,4.534560790478431,,,
182,4.538179157361294,,,
183,4.547060603387473,,,
184,4.556599934369432,,,
185,4.571402344647353,,,
186,4.586862640000364,,,
187,4.605612360135748,,,
188,4.623704195603571,,,
189,4.642124973787175,,,
190,4.659229982329726,,,
191,4.6776507610079445,,,
192,4.694426827528568,,,
193,4.7108739517768035,,,
194,4.7243605938148345,,,
195,4.735215696044401,,,
196,4.744097143390558,,,
197,4.749689165824877,,,
198,4.752320705802318,,,
199,4.752978590797514,,,
200,4.748702338334716,,,
201,4.74113666093509,,,
202,4.732913098594198,,,
203,4.720413283935611,,,
204,4.708571354369602,,,
205,4.692124230150299,,,
206,4.675019221181001,,,
207,4.65659844253955,,,
208,4.637519779217312,,,
209,4.619099001097553,,,
210,4.601336108151918,,,
211,4.584560042808849,,,
212,4.5704155172904315,,,
213,4.55824464661451,,,
214,4.548705315620939,,,
215,4.542126466699072,,,
216,4.538837042250125,,,
217,4.53850809980567,,,
218,4.540810696918534,,,
219,4.54673166094102,,,
220,4.555613107023348,,,
221,4.569099747482329,,,
222,4.583573215442265,,,
223,4.599691395854088,,,
224,4.617125346314134,,,
225,4.635217181938377,,,
226,4.6536379602818645,,,
227,4.673374508791834,,,
228,4.690479517739723,,,
229,4.7079134693968605,,,
230,4.723044823853765,,,
231,4.7365314660177775,,,
232,4.746728683356646,,,
233,4.754952245785105,,,
234,4.760873210765939,,,
235,4.763504750766123,,,
236,4.76186003826538,,,
237,4.7575837857732415,,,
238,4.75100493581293,,,
239,4.740478775945902,,,
240,4.72797896121463,,,
241,4.714492319139178,,,
242,4.69870307981323,,,
243,4.680611243319547,,,
244,4.662519407074821,,,
245,4.644427571078105,,,
246,4.625019965465359,,,
247,4.60791495736348,,,
248,4.5924546617676505,,,
249,4.57896802107447,,,
250,4.567126092772585,,,
251,4.557586761716238,,,
252,4.553310509885287,,,
253,4.550350027856405,,,
254,4.551994740093872,,,
255,4.554955222126359,,,
256,4.5608761862108045,,,
257,4.5710734021949655,,,
258,4.585217927720307,,,
259,4.6000203383134926,,,
260,4.615809576460147,,,
261,4.6332435271310395,,,
262,4.652322190391688,,,
263,4.67074296897344,,,
264,4.689163747812748,,,
265,4.706268756966457,,,
266,4.723044823853765,,,
267,4.7371893510049645,,,
268,4.749360223328074,,,
269,4.759557440767856,,,
270,4.76679417577389,,,
271,4.772386198306325,,,
272,4.773373025814565,,,
273,4.771070428296513,,,
274,4.7664652332727355,,,
275,4.7575837857732415,,,
276,4.747386568349002,,,
277,4.734886753551265,,,
278,4.720084341446215,,,
279,4.7033082745969415,,,
280,4.686203265481876,,,
281,4.666466716779757,,,
282,4.648703823200451,,,
283,4.630283044925533,,,
284,4.612191209368374,,,
285,4.597717741099361,,,
286,4.58423110035324,,,
287,4.573375999363367,,,
288,4.565481380516674,,,
289,4.559889358861592,,,
290,4.557586761716238,,,
291,4.559231473962519,,,
292,4.561863013560737,,,
293,4.570086574838285,,,
294,4.580941675801591,,,
295,4.594099374056587,,,
296,4.60791495736348,,,
297,4.6260067928625555,,,
298,4.642782858727032,,,
299,4.6612036371758,,,
300,4.679953358360836,,,
301,4.697058367394401,,,
302,4.714163376651276,,,
303,4.730281558656099,,,
304,4.744097143390558,,,
305,4.7552811882833295,,,
306,4.765149463268958,,,
307,4.771070428296513,,,
308,4.774030910820478,,,
309,4.774688795826727,,,
310,4.77074148579427,,,
311,4.7648205207682235,,,
312,4.7552811882833295,,,
313,4.744097143390558,,,
314,4.730610501148071,,,
315,4.715150204115233,,,
316,4.699032022297244,,,
317,4.679953358360836,,,
318,4.661532579650432,,,
319,4.643111801197084,,,
320,4.624362080534303,,,
321,4.608243899824908,,,
322,4.59179677685264,,,
323,4.578310136166073,,,
324,4.567455035224008,,,
325,4.559889358861592,,,
326,4.554626279677984,,,
327,4.553639452333341,,,
328,4.554955222126359,,,
329,4.558902531513102,,,
330,4.568112920127096,,,
331,4.578310136166073,,,
332,4.59179677685264,,,
333,4.607586014902132,,,
334,4.623704195603571,,,
335,4.641138146378001,,,
336,4.659558924803866,,,
337,4.676992876050715,,,
338,4.695413654977636,,,
339,4.712189721725599,,,
340,4.726663191249905,,,
341,4.739491948462746,,,
342,4.750018108321766,,,
343,4.758899555769316,,,
344,4.763833693266522,,,
345,4.765149463268958,,,
346,4.7658073482706795,,,
347,4.760544268266293,,,
348,4.7536364757930425,,,
349,4.7431103159046515,,,
350,4.730939443640125,,,
351,4.717123859045387,,,
352,4.701663562172327,,,
353,4.683900668118035,,,
354,4.666137774303895,,,
355,4.64607228343122,,,
356,4.626664677794427,,,
357,4.608243899824908,,,
358,4.5911388919379545,,,
359,4.576336481442818,,,
360,4.563507725812232,,,
361,4.554955222126359,,,
362,4.547060603387473,,,
363,4.543442236480886,,,
364,4.542455409144406,,,
365,4.544429063818088,,,
366,4.550021085409152,,,
367,4.558902531513102,,,
368,4.5704155172904315,,,
369,4.584888985264537,,,
370,4.600678223232544,,,
371,4.617454288777835,,,
372,4.634559297002272,,,
373,4.65265113286411,,,
374,4.67074296897344,,,
375,4.688176920368383,,,
376,4.704624044538121,,,
377,4.719097513978525,,,
378,4.731597328624483,,,
379,4.742781373409516,,,
380,4.748373395838162,,,
381,4.754623303286964,,,
382,4.754623303286964,,,
383,4.754294360788906,,,
384,4.748702338334716,,,
385,4.740149833451434,,,
386,4.729623673672407,,,
387,4.717452801534035,,,
388,4.703637217082112,,,
389,4.687190092924758,,,
390,4.669098256589612,,,
391,4.6493617081435765,,,
392,4.629954102458662,,,
393,4.611533324443653,,,
394,4.594099374056587,,,
395,4.5773233088040834,,,
396,4.563507725812232,,,
397,4.551007912751152,,,
398,4.542126466699072,,,
399,4.5368633875845905,,,
400,4.533902905591675,,,
401,4.534231848035013,,,
402,4.536534445140615,,,
403,4.54377117892654,,,
404,4.5542973372296895,,,
405,4.566468207869979,,,
406,4.580941675801591,,,
407,4.597388798640522,,,
408,4.615151691533639,,,
409,4.632914584663435,,,
410,4.6513353629749155,,,
411,4.67041402649651,,,
412,4.686532207962754,,,
413,4.7033082745969415,,,
414,4.717781744022767,,,
415,4.729294731180685,,,
416,4.7391630059685275,,,
417,4.747057625852782,,,
418,4.750675993315792,,,
419,4.75100493581293,,,
420,4.750347050818736,,,
421,4.745083970877215,,,
422,4.735873581030923,,,
423,4.725347421286509,,,
424,4.7128476067004925,,,
425,4.6973873098780015,,,
426,4.680940185799025,,,
427,4.6628483495497814,,,
428,4.64376968613743,,,
429,4.625677850396742,,,
430,4.607586014902132,,,
431,4.590481007023591,,,
432,4.57436282672246,,,
433,4.5608761862108045,,,
434,4.549363200514885,,,
435,4.541797524253817,,,
436,4.537521272472783,,,
437,4.5358765602529,,,
438,4.536534445140615,,,
439,4.541468581808643,,,
440,4.548705315620939,,,
441,4.55824464661451,,,
442,4.572389172004998,,,
443,4.587849467369367,,,
444,4.605283417674968,,,
445,4.623704195603571,,,
