,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
0,4.593112546682983,15.07,20.0,2500.0
1,4.618441116169421,,,
2,4.645414398489728,,,
3,4.6710719114504515,,,
4,4.696729424910883,,,
5,4.721400111404296,,,
6,4.746070798364623,,,
7,4.77139937079884,,,
8,4.79574111620419,,,
9,4.820082862071141,,,
10,4.844095665880916,,,
11,4.866792700035954,,,
12,4.88883184953266,,,
13,4.911528884492071,,,
14,4.933568034773369,,,
15,4.953304587594299,,,
16,4.973699025838404,,,
17,4.993764521857982,,,
18,5.013501075638303,,,
19,5.033566572306657,,,
20,5.052316298998995,,,
21,5.069750255655793,,,
22,5.087513155148275,,,
23,5.1049471123109145,,,
24,5.121723184535356,,,
25,5.137183486596378,,,
26,5.152972731460131,,,
27,5.168433033924562,,,
28,5.182577566142082,,,
29,5.19540632806626,,,
30,5.20790614751045,,,
31,5.220405967086675,,,
32,5.231261073668129,,,
33,5.240471467209606,,,
34,5.249681860823213,,,
35,5.258563311876191,,,
36,5.265800049820963,,,
37,5.273036787810478,,,
38,5.278957755289764,,,
39,5.28422083751878,,,
40,5.288168149206125,,,
41,5.291457575622457,,,
42,5.2947470020480765,,,
43,5.297378543195263,,,
44,5.2986943137710885,,,
45,5.2986943137710885,,,
46,5.29803642848299,,,
47,5.2970496005515395,,,
48,5.294089116762209,,,
49,5.2917865182646,,,
50,5.287510263923973,,,
51,5.283891894878772,,,
52,5.278299870012806,,,
53,5.272707845173619,,,
54,5.265142164551409,,,
55,5.257905426610701,,,
56,5.249023975562704,,,
57,5.238826754071913,,,
58,5.228629532669509,,,
59,5.217774426112271,,,
60,5.205603549181871,,,
61,5.192774787147435,,,
62,5.179617082640787,,,
63,5.1651436078515305,,,
64,5.150670133237864,,,
65,5.135209831003037,,,
66,5.11843375859058,,,
67,5.102973456770443,,,
68,5.084223729296704,,,
69,5.066460829852374,,,
70,5.048368988092473,,,
71,5.029290318890777,,,
72,5.009553764856915,,,
73,4.989817211139854,,,
74,4.969751715184341,,,
75,4.949357277005088,,,
76,4.9289628391601,,,
77,4.906594746422529,,,
78,4.883897711552192,,,
79,4.86251644719306,,,
80,4.838503643035458,,,
81,4.813832954304373,,,
82,4.788833323542349,,,
83,4.764491578267573,,,
84,4.740478775945902,,,
85,4.715150204115233,,,
86,4.689492690294368,,,
87,4.663506234499948,,,
88,4.637848721686058,,,
89,4.612191209368374,,,
90,4.5858758126320875,,,
91,4.561534071110679,,,
92,4.534889732921929,,,
93,4.508574337693716,,,
94,4.48357471269716,,,
95,4.458575088156247,,,
96,4.433575464068477,,,
97,4.409891610085262,,,
98,4.3855498716884025,,,
99,4.362523903323678,,,
100,4.339497935335212,,,
101,4.317129852504852,,,
102,4.29640648196097,,,
103,4.275354169334904,,,
104,4.253643972262198,,,
105,4.233249545006286,,,
106,4.214170887510209,,,
107,4.194434345535601,,,
108,4.1766714579858775,,,
109,4.1589085706506745,,,
110,4.143119337643195,,,
111,4.127330104803874,,,
112,4.113514526206915,,,
113,4.099041063051975,,,
114,4.0868701964162915,,,
115,4.074699329879191,,,
116,4.062528463440386,,,
117,4.051344424096547,,,
118,4.0414761541558235,,,
119,4.032594711263984,,,
120,4.024371153076998,,,
121,4.016805479584125,,,
122,4.010884517746265,,,
123,4.004963555931309,,,
124,4.001345190388987,,,
125,3.9970689402136084,,,
126,3.995424228610864,,,
127,3.993450574689896,,,
128,3.991476920771461,,,
129,3.992134805410658,,,
130,3.9931216323699807,,,
131,3.995424228610864,,,
132,3.997726824855199,,,
133,4.002003075032411,,,
134,4.006608267544279,,,
135,4.012200287041587,,,
136,4.0174633642341915,,,
137,4.025686922383935,,,
138,4.034897307564297,,,
139,4.044436635131303,,,
140,4.054633847424393,,,
141,4.064831059786148,,,
142,4.076344041567644,,,
143,4.088185965777553,,,
144,4.1010147171103135,,,
145,4.11450135324531,,,
146,4.129303758899614,,,
147,4.145421934112964,,,
148,4.161540109501648,,,
149,4.179302996868575,,,
150,4.197394826814808,,,
151,4.215486656984669,,,
152,4.235552141617578,,,
153,4.256275511283905,,,
154,4.276669938864985,,,
155,4.29772225151037,,,
156,4.319761391643089,,,
157,4.342787359310602,,,
158,4.366471212159425,,,
159,4.388839295771335,,,
160,4.412852091811119,,,
161,4.437193830684809,,,
162,4.463180282116504,,,
163,4.486535194580814,,,
164,4.512521646945514,,,
165,4.53850809980567,,,
166,4.564165610713392,,,
167,4.589494179652651,,,
168,4.615809576460147,,,
169,4.6417960313173685,,,
170,4.667453544207838,,,
171,4.692782115115106,,,
172,4.718110686511582,,,
173,4.743768200895173,,,
174,4.768109945779341,,,
175,4.7934385186461155,,,
176,4.817780264469302,,,
177,4.84179306823569,,,
178,4.865147987402361,,,
179,4.887516079402646,,,
180,4.909884171800067,,,
181,4.931923322052395,,,
182,4.953304587594299,,,
183,4.973699025838404,,,
184,4.993435579297655,,,
185,5.013501075638303,,,
186,5.033566572306657,,,
187,5.0526452415751155,,,
188,5.069750255655793,,,
189,5.0888289254914065,,,
190,5.105933940082361,,,
191,5.1220521271303285,,,
192,5.139157142192968,,,
193,5.154946387082747,,,
194,5.168761976532365,,,
195,5.183235451365594,,,
196,5.19540632806626,,,
197,5.208564032748009,,,
198,5.221063852331193,,,
199,5.23159001629337,,,
200,5.2421161803495995,,,
